,date,default_code,name_prod,subcateg_name,st_in,st_out,st_last,order_qty,qty_delivered,selisih,progress_sum,stock-so
1292,2021-12-10,BA217L,Shoe Porto BA 217L size 37-40 @40,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1293,2021-12-10,AD303K-35,Shoe Porto AD 303K Navy size 26-30 @20,Very Fast,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
1294,2021-12-10,JBTS-1,PortoLady BTS-1 size 36-40 @36,Slow,30.0,30.0,155.0,15.0,0.0,15.0,26.0,129.0
1295,2021-12-10,E1034B,EVA Porto 1034B size 30-35 @72,Very Fast,280.0,248.0,242.0,44.0,15.0,29.0,315.0,-73.0
1296,2021-12-10,E1002B,EVA Porto 1002B size 30-35 @72,Fast,47.0,37.0,108.0,4.0,0.0,4.0,19.0,89.0
1297,2021-12-10,JPAX,PortoLady PAX size 36-40 @36,Slow,0.0,5.0,151.0,6.0,5.0,1.0,8.0,143.0
1298,2021-12-10,JANT-1,PortoLady ANT-1 size 37-40 @36,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299,2021-12-10,JPAX-B,PortoLady PAX-B All Black size 36-40 @36,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,2021-12-10,E1037B,EVA Porto 1037B size 30-35 @72,Medium,0.0,0.0,0.0,5.0,0.0,5.0,52.0,-52.0
1301,2021-12-10,JDTA,PortoLady DTA size 36-40 @36,Very Fast,64.0,59.0,896.6,4.0,3.0,1.0,35.0,861.6
